layer,rmse,maxerr,95pct,median,llama_version,num_parameter,processing_type,quant_type,dim,threshold_low,threshold_high,imat,model_name,n_elements,bits_per_weight,size,ppl,hellaswag
global,0.00138761,0.02316284,0.0028,0.001,3.1,70B,F16,accu,4,0.12,0.12,False,3.1-70B-ZFPaccu0.12:0.12_4_NOI,70553706560,5.262593,44261.87,3.5607,85.35
global,0.0,0.0,0.0002,0.0002,3.1,70B,F16,BF16,,,,False,3.1-70B-BF16+NOI,70553706560,16.000299,134573.03,2.7217,85.825
global,0.00136497,0.01160431,0.0028,0.001,3.1,70B,F16,accu,3,0.05,0.05,False,3.1-70B-ZFPaccu0.05:0.05_3_NOI,70553706560,5.054184,42509.01,3.6058,85.1
global,8.908e-05,0.25976562,0.0002,0.0002,3.1,70B,F16,Q8_0,,,,False,3.1-70B-Q8_0+NOI,70553706560,8.500439,71494.28,2.723,85.725
global,0.00842359,35.19168091,0.0144,0.0042,3.1,70B,F16,rate,4,3.00,3.00,False,3.1-70B-ZFPrate3.00:3.00_4_NOI,70553706560,3.000542,25236.53,21585.0872,23.925
global,0.00106887,2.7250061,0.0018,0.0008,3.1,70B,F16,Q4_1,,,,False,3.1-70B-Q4_1+NOI,70553706560,5.023773,42253.23,4906.118,28.05
global,0.00162367,1.65625,0.0034,0.0008,3.1,70B,F16,Q3_K_L,,,,False,3.1-70B-Q3_K_L+NOI,70553706560,4.210436,35412.53,3.441,84.15
global,0.00748632,23.25927734,0.0128,0.004,3.1,70B,F16,rate,3,3.00,3.00,False,3.1-70B-ZFPrate3.00:3.00_3_NOI,70553706560,3.000542,25236.53,76699.2362,24.975
global,0.00187221,18.5,0.0032,0.001,3.1,70B,F16,rate,3,5.00,8.00,True,3.1-70B-ZFPrate5.00:8.00_3_WII,70553706560,5.062573,42579.56,3.447,85.65
global,0.00363597,24.00023842,0.006,0.0016,3.1,70B,F16,rate,1,6.00,6.00,False,3.1-70B-ZFPrate6.00:6.00_1_NOI,70553706560,6.000486,50468.03,2635707.7538,25.875
global,0.00371221,44.3125,0.0062,0.0018,3.1,70B,F16,rate,3,4.00,8.00,True,3.1-70B-ZFPrate4.00:8.00_3_WII,70553706560,4.091598,34413.03,5.5531,81.825
global,0.00106585,13.125,0.0018,0.0006,3.1,70B,F16,rate,2,6.00,8.00,True,3.1-70B-ZFPrate6.00:8.00_2_WII,70553706560,6.002694,50486.6,2.9691,85.225
global,0.00616039,50.34375,0.0104,0.0028,3.1,70B,F16,rate,1,5.00,8.00,True,3.1-70B-ZFPrate5.00:8.00_1_WII,70553706560,4.004419,33679.79,153485183.563,24.625
global,0.00094627,7.625,0.0016,0.0006,3.1,70B,F16,rate,3,6.00,8.00,True,3.1-70B-ZFPrate6.00:8.00_3_WII,70553706560,6.033354,50744.47,2.9076,85.8
global,0.00505296,82.296875,0.001,0.0004,3.1,70B,F16,Q5_K_S,,,,True,3.1-70B-Q5_K_S+WII,70553706560,5.516318,46395.86,2.7706,85.65
global,0.00459446,71.74169922,0.0018,0.0006,3.1,70B,F16,Q4_K_M,,,,True,3.1-70B-Q4_K_M+WII,70553706560,4.820445,40543.11,2.8726,85.525
global,0.00027441,2.00579834,0.0006,0.0002,3.1,70B,F16,rate,2,8.00,8.00,False,3.1-70B-ZFPrate8.00:8.00_2_NOI,70553706560,8.000449,67289.03,,
global,9.995e-05,0.7509613,0.0002,0.0002,3.1,70B,F16,prec,1,10,10,False,3.1-70B-ZFPprec10:10_1_NOI,70553706560,10.020553,84279.43,2.7249,85.725
